host, domain, type, ttl, content, content2, content3, content4
edev2.zhp.pl, zhp.pl, A, 3600, 213.189.38.133
lednica.zhp.pl, zhp.pl, NS, 3600, ns1.zenbox.pl, ns2.zenbox.pl
drezdenko.zhp.pl, zhp.pl, NS, 3600, ns1.easyisp.pl, ns2.easyisp.pl
trzebinia.zhp.pl, zhp.pl, NS, 3600, ns1.zenbox.pl, ns2.zenbox.pl
jordanow.zhp.pl, zhp.pl, NS, 3600, ns1.hekko.net.pl, ns2.hekko.net.pl
kety.zhp.pl, zhp.pl, NS, 3600, ns1.hekko.net.pl, ns2.hekko.net.pl
olkusz.zhp.pl, zhp.pl, NS, 3600, ns1.zenbox.pl, ns2.zenbox.pl
lebork.zhp.pl, zhp.pl, NS, 3600, dns11.linuxpl.com, ns11.linuxpl.com
sulejowek.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
wielkopolska.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
chodziez.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
czerwonak.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
kalisz.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
kepno.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
kozmin.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
leszno.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
ostrowwielkopolski.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
ostrzeszow.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
pila.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
poznangrunwald.zhp.pl, zhp.pl, A, 3600, 94.23.27.27
poznanjezyce.zhp.pl, zhp.pl, NS, 3600, ns1.interian.pl, ns3.tomkii.net, jasmin.bracz.edu.pl
