host, domain, type, ttl, content, content2, content3, content4
stronanidzica.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
autodiscover.stoleczna.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
_sipfederationtls._tcp.stoleczna.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
msoid.stoleczna.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.stoleczna.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
lyncdiscover.stoleczna.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
enterpriseregistration.stoleczna.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.stoleczna.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
ns1.worker.zhp.pl, zhp.pl, A, 3600, 46.101.240.55
ns2.worker.zhp.pl, zhp.pl, A, 3600, 46.101.240.55
poczta.worker.zhp.pl, zhp.pl, A, 3600, 46.101.240.55
lublin.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
otwock.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
czuwaj2.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
_sip._tls.celestynow.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.celestynow.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
mazowiecka.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.mazowiecka.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.mazowiecka.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.mazowiecka.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.mazowiecka.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.mazowiecka.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.mazowiecka.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
celestynow.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
_sip._tls.mazowiecka.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.mazowiecka.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
enterpriseenrollment.celestynow.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.celestynow.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
msoid.celestynow.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
lyncdiscover.celestynow.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
sip.celestynow.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
autodiscover.celestynow.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
celestynow.zhp.pl, zhp.pl, MX, 3600, 0 celestynow-zhp-pl.mail.protection.outlook.com
zielonka.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
blonie.zhp.pl, zhp.pl, MX, 3600, 0 blonie-zhp-pl.mail.protection.outlook.com
blonie.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
garwolin.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
grodziskmazowiecki.zhp.pl, zhp.pl, MX, 3600, 0 grodziskmazowiecki-zhp-pl.mail.protection.outlook.com
grodziskmazowiecki.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
milanowek.zhp.pl, zhp.pl, MX, 3600, 0 milanowek-zhp-pl.mail.protection.outlook.com
milanowek.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
nowydwormazowiecki.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
pragapolnoc.zhp.pl, zhp.pl, MX, 3600, 0 pragapolnoc-zhp-pl.mail.protection.outlook.com
tluszcz.zhp.pl, zhp.pl, MX, 3600, 0 tluszcz-zhp-pl.mail.protection.outlook.com
tluszcz.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
wola.zhp.pl, zhp.pl, MX, 3600, 0 wola-zhp-pl.mail.protection.outlook.com
wola.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
wolomin.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
sip.plock.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
folusz.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
przysucha.zhp.pl, zhp.pl, MX, 3600, 0 przysucha-zhp-pl.mail.protection.outlook.com
przysucha.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
_sip._tls.przysucha.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.przysucha.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.przysucha.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.przysucha.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.przysucha.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.przysucha.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.przysucha.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.przysucha.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
autodiscover.blonie.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.blonie.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.blonie.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.blonie.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.blonie.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.blonie.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.blonie.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.blonie.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
zabki.zhp.pl, zhp.pl, MX, 3600, 0 zabki-zhp-pl.mail.protection.outlook.com
zabki.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.zabki.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
sip.zabki.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.zabki.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
enterpriseregistration.zabki.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
msoid.zabki.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.zabki.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
_sipfederationtls._tcp.zabki.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
_sip._tls.zabki.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
swinoujscie.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
szczecinek.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
mysliborz.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
zoliborz.zhp.pl, zhp.pl, MX, 3600, 0 zoliborz-zhp-pl.mail.protection.outlook.com
zoliborz.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
_sipfederationtls._tcp.zoliborz.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
_sip._tls.zoliborz.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
sip.zoliborz.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.zoliborz.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
autodiscover.zoliborz.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.zoliborz.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseregistration.zoliborz.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
enterpriseenrollment.zoliborz.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
autodiscover.grodziskmazowiecki.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.grodziskmazowiecki.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.grodziskmazowiecki.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.grodziskmazowiecki.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.grodziskmazowiecki.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.grodziskmazowiecki.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.grodziskmazowiecki.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.grodziskmazowiecki.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.milanowek.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.milanowek.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.milanowek.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.milanowek.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.milanowek.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.milanowek.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.milanowek.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.milanowek.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
piastow.zhp.pl, zhp.pl, MX, 3600, 0 piastow-zhp-pl.mail.protection.outlook.com
autodiscover.piastow.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.piastow.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.piastow.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.piastow.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.piastow.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.piastow.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
piastow.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
_sip._tls.piastow.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.piastow.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.plock.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.plock.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.plock.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.plock.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
lyncdiscover.plock.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.plock.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.plock.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
pragapolnoc.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.pragapolnoc.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.pragapolnoc.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.pragapolnoc.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.pragapolnoc.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.pragapolnoc.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.pragapolnoc.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.pragapolnoc.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.pragapolnoc.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
sulejowek.zhp.pl, zhp.pl, MX, 3600, 0 sulejowek-zhp-pl.mail.protection.outlook.com
sulejowek.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.sulejowek.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.sulejowek.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.sulejowek.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.sulejowek.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.sulejowek.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.sulejowek.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.sulejowek.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.sulejowek.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.tluszcz.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.tluszcz.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.tluszcz.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.tluszcz.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.tluszcz.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.tluszcz.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.tluszcz.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.tluszcz.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
warszawacentrum.zhp.pl, zhp.pl, MX, 3600, 0 warszawacentrum-zhp-pl.mail.protection.outlook.com
warszawacentrum.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.warszawacentrum.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.warszawacentrum.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.warszawacentrum.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.warszawacentrum.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.warszawacentrum.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.warszawacentrum.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.warszawacentrum.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.warszawacentrum.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
warszawaursynow.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
warszawaursynow.zhp.pl, zhp.pl, MX, 3600, 0 warszawaursynow-zhp-pl.mail.protection.outlook.com
autodiscover.warszawaursynow.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.warszawaursynow.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.warszawaursynow.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.warszawaursynow.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.warszawaursynow.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.warszawaursynow.zhp.pl, zhp.pl, TXT, 3600, "webdir.online.lync.com"
_sip._tls.warszawaursynow.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.warszawaursynow.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
warszawazoliborz.zhp.pl, zhp.pl, MX, 3600, 0 warszawazoliborz-zhp-pl.mail.protection.outlook.com
warszawazoliborz.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
_sip._tls.warszawazoliborz.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.warszawazoliborz.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.warszawazoliborz.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.warszawazoliborz.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.warszawazoliborz.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.warszawazoliborz.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.warszawazoliborz.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.warszawazoliborz.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
autodiscover.wawer.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.wawer.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.wawer.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.wawer.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.wawer.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.wawer.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.wawer.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.wawer.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.wola.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.wola.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.wola.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.wola.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.wola.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.wola.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.wola.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.wola.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
autodiscover.wolomin.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.wolomin.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.wolomin.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.wolomin.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.wolomin.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.wolomin.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.wolomin.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.wolomin.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
kutno.zhp.pl, zhp.pl, NS, 3600, dns1.mydevil.net, dns2.mydevil.net
stargard.zhp.pl, zhp.pl, MX, 3600, 0 stargard-zhp-pl.mail.protection.outlook.com
stargard.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -a"
autodiscover.stargard.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
sip.stargard.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.stargard.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
msoid.stargard.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseregistration.stargard.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
enterpriseenrollment.stargard.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
_sip._tls.stargard.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.stargard.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
szczecin.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
exkursion.zhp.pl, zhp.pl, NS, 3600, ns12.linuxpl.com, dns12.linuxpl.com
szczecindabie.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
koszalin.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
czechowice-dziedzice.zhp.pl, zhp.pl, MX, 3600, 0 czechowicedziedzice-zhp-pl02e.mail.protection.outlook.com
lubliniec.zhp.pl, zhp.pl, MX, 3600, 0 lubliniec-zhp-pl.mail.protection.outlook.com
zywiec.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
zabrze.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
zory.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
zawiercie.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
wodzislaw.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
wegierskagorka.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
tychy.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
tarnowskiegory.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
sosnowiec.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
siemianowice.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
rydultowy.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
rybnik.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
myszkow.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
myslowice.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
mikolow.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
lubliniec.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.lubliniec.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.lubliniec.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.lubliniec.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.lubliniec.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.lubliniec.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.lubliniec.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.lubliniec.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.lubliniec.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
kuzniaraciborska.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
klobuck.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
jaworzno.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
slaska.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
jastrzebiezdroj.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
gliwice.zhp.pl, zhp.pl, TXT, 3600, v=spf1 include:spf.protection.outlook.com -all
dabrowagornicza.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
czerwionka.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
czechowice-dziedzice.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
autodiscover.czechowice-dziedzice.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.czechowice-dziedzice.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
enterpriseenrollment.czechowice-dziedzice.zhp.pl, zhp.pl, CNAME, 3600, enterpriseenrollment.manage.microsoft.com
enterpriseregistration.czechowice-dziedzice.zhp.pl, zhp.pl, CNAME, 3600, enterpriseregistration.windows.net
sip.czechowice-dziedzice.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.czechowice-dziedzice.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.czechowice-dziedzice.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.czechowice-dziedzice.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
chrzanow.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
bytom.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
beskidzki.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
bedzin.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
centrum.zhp.pl, zhp.pl, MX, 3600, 0 centrum-zhp-pl.mail.protection.outlook.com
centrum.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
